countryOrRegion;county;isoCode;lat;location;long;newDeaths;newlyConfirmedCases;newlyRecoveredCases;provinceOrState;totalConfirmedCases;totalRecoveredCases
United States;;US-HI;19.898682;{u'totalRecoveredCases': 1756, u'newlyConfirmedCases': 0, u'long': -155.665857, u'totalConfirmedCases': 6359, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 19.898682, u'countryOrRegion': u'United States', u'isoCode': u'US-HI', u'provinceOrState': u'Hawaii', u'newlyRecoveredCases': 0};-155.665857;0;0;0;Hawaii;6359;1756
United States;;US-ID;44.068202;{u'totalRecoveredCases': 10369, u'newlyConfirmedCases': 0, u'long': -114.742041, u'totalConfirmedCases': 29813, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 44.068202, u'countryOrRegion': u'United States', u'isoCode': u'US-ID', u'provinceOrState': u'Idaho', u'newlyRecoveredCases': 0};-114.742041;0;0;0;Idaho;29813;10369
United States;;US-IL;40.633125;{u'totalRecoveredCases': 146699, u'newlyConfirmedCases': 0, u'long': -89.398528, u'totalConfirmedCases': 220731, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 40.633125, u'countryOrRegion': u'United States', u'isoCode': u'US-IL', u'provinceOrState': u'Illinois', u'newlyRecoveredCases': 0};-89.398528;0;0;0;Illinois;220731;146699
United States;;US-IN;40.551217;{u'totalRecoveredCases': 59073, u'newlyConfirmedCases': 0, u'long': -85.602364, u'totalConfirmedCases': 93762, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 40.551217, u'countryOrRegion': u'United States', u'isoCode': u'US-IN', u'provinceOrState': u'Indiana', u'newlyRecoveredCases': 0};-85.602364;0;0;0;Indiana;93762;59073
United States;;US-IA;41.878003;{u'totalRecoveredCases': 39943, u'newlyConfirmedCases': 1, u'long': -93.097702, u'totalConfirmedCases': 56277, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 41.878003, u'countryOrRegion': u'United States', u'isoCode': u'US-IA', u'provinceOrState': u'Iowa', u'newlyRecoveredCases': 0};-93.097702;0;1;0;Iowa;56277;39943
United States;;US-KS;39.011902;{u'totalRecoveredCases': 21063, u'newlyConfirmedCases': 0, u'long': -98.484246, u'totalConfirmedCases': 37883, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 39.011902, u'countryOrRegion': u'United States', u'isoCode': u'US-KS', u'provinceOrState': u'Kansas', u'newlyRecoveredCases': 0};-98.484246;0;0;0;Kansas;37883;21063
United States;;US-KY;37.839333;{u'totalRecoveredCases': 9021, u'newlyConfirmedCases': 0, u'long': -84.270018, u'totalConfirmedCases': 45242, u'county': None, u'location': {...}, u'newDeaths': 1, u'lat': 37.839333, u'countryOrRegion': u'United States', u'isoCode': u'US-KY', u'provinceOrState': u'Kentucky', u'newlyRecoveredCases': 0};-84.270018;1;0;0;Kentucky;45242;9021
United States;;US-LA;31.244823;{u'totalRecoveredCases': 103512, u'newlyConfirmedCases': 0, u'long': -92.145024, u'totalConfirmedCases': 142092, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 31.244823, u'countryOrRegion': u'United States', u'isoCode': u'US-LA', u'provinceOrState': u'Louisiana', u'newlyRecoveredCases': 0};-92.145024;0;0;0;Louisiana;142092;103512
United States;;US-ME;45.253783;{u'totalRecoveredCases': 3604, u'newlyConfirmedCases': 0, u'long': -69.445469, u'totalConfirmedCases': 4325, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 45.253783, u'countryOrRegion': u'United States', u'isoCode': u'US-ME', u'provinceOrState': u'Maine', u'newlyRecoveredCases': 0};-69.445469;0;0;0;Maine;4325;3604
United States;;US-MD;39.045755;{u'totalRecoveredCases': 5986, u'newlyConfirmedCases': 0, u'long': -76.641271, u'totalConfirmedCases': 102797, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 39.045755, u'countryOrRegion': u'United States', u'isoCode': u'US-MD', u'provinceOrState': u'Maryland', u'newlyRecoveredCases': 0};-76.641271;0;0;0;Maryland;102797;5986
United States;;US-MA;42.407211;{u'totalRecoveredCases': 100486, u'newlyConfirmedCases': 0, u'long': -71.382437, u'totalConfirmedCases': 133851, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 42.407211, u'countryOrRegion': u'United States', u'isoCode': u'US-MA', u'provinceOrState': u'Massachusetts', u'newlyRecoveredCases': 0};-71.382437;0;0;0;Massachusetts;133851;100486
United States;;US-MI;44.314844;{u'totalRecoveredCases': 63636, u'newlyConfirmedCases': 0, u'long': -85.602364, u'totalConfirmedCases': 105943, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 44.314844, u'countryOrRegion': u'United States', u'isoCode': u'US-MI', u'provinceOrState': u'Michigan', u'newlyRecoveredCases': 0};-85.602364;0;0;0;Michigan;105943;63636
United States;;US-MN;46.729553;{u'totalRecoveredCases': 56659, u'newlyConfirmedCases': 0, u'long': -94.6859, u'totalConfirmedCases': 68924, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 46.729553, u'countryOrRegion': u'United States', u'isoCode': u'US-MN', u'provinceOrState': u'Minnesota', u'newlyRecoveredCases': 0};-94.6859;0;0;0;Minnesota;68924;56659
United States;;US-MS;32.354668;{u'totalRecoveredCases': 49836, u'newlyConfirmedCases': 0, u'long': -89.398528, u'totalConfirmedCases': 77268, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 32.354668, u'countryOrRegion': u'United States', u'isoCode': u'US-MS', u'provinceOrState': u'Mississippi', u'newlyRecoveredCases': 0};-89.398528;0;0;0;Mississippi;77268;49836
United States;;US-MO;37.964253;{u'totalRecoveredCases': 9997, u'newlyConfirmedCases': 254, u'long': -91.831833, u'totalConfirmedCases': 75248, u'county': None, u'location': {...}, u'newDeaths': 2, u'lat': 37.964253, u'countryOrRegion': u'United States', u'isoCode': u'US-MO', u'provinceOrState': u'Missouri', u'newlyRecoveredCases': 0};-91.831833;2;254;0;Missouri;75248;9997
United States;;US-MT;46.879682;{u'totalRecoveredCases': 4011, u'newlyConfirmedCases': 0, u'long': -110.362566, u'totalConfirmedCases': 6398, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 46.879682, u'countryOrRegion': u'United States', u'isoCode': u'US-MT', u'provinceOrState': u'Montana', u'newlyRecoveredCases': 0};-110.362566;0;0;0;Montana;6398;4011
United States;;US-NE;41.492537;{u'totalRecoveredCases': 22004, u'newlyConfirmedCases': 0, u'long': -99.901813, u'totalConfirmedCases': 31955, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 41.492537, u'countryOrRegion': u'United States', u'isoCode': u'US-NE', u'provinceOrState': u'Nebraska', u'newlyRecoveredCases': 0};-99.901813;0;0;0;Nebraska;31955;22004
United States;;US-NV;38.80261;{u'totalRecoveredCases': 26011, u'newlyConfirmedCases': 0, u'long': -116.419389, u'totalConfirmedCases': 65181, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 38.80261, u'countryOrRegion': u'United States', u'isoCode': u'US-NV', u'provinceOrState': u'Nevada', u'newlyRecoveredCases': 0};-116.419389;0;0;0;Nevada;65181;26011
United States;;US-NH;43.193852;{u'totalRecoveredCases': 6218, u'newlyConfirmedCases': 0, u'long': -71.572395, u'totalConfirmedCases': 7096, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 43.193852, u'countryOrRegion': u'United States', u'isoCode': u'US-NH', u'provinceOrState': u'New Hampshire', u'newlyRecoveredCases': 0};-71.572395;0;0;0;New Hampshire;7096;6218
United States;;US-NJ;40.058324;{u'totalRecoveredCases': 155415, u'newlyConfirmedCases': 0, u'long': -74.405661, u'totalConfirmedCases': 195143, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 40.058324, u'countryOrRegion': u'United States', u'isoCode': u'US-NJ', u'provinceOrState': u'New Jersey', u'newlyRecoveredCases': 0};-74.405661;0;0;0;New Jersey;195143;155415
United States;;US-NM;34.97273;{u'totalRecoveredCases': 10182, u'newlyConfirmedCases': 0, u'long': -105.032363, u'totalConfirmedCases': 26162, u'county': None, u'location': {...}, u'newDeaths': 2, u'lat': 34.97273, u'countryOrRegion': u'United States', u'isoCode': u'US-NM', u'provinceOrState': u'New Mexico', u'newlyRecoveredCases': 0};-105.032363;2;0;0;New Mexico;26162;10182
United States;;US-NY;43.299428;{u'totalRecoveredCases': 350527, u'newlyConfirmedCases': 0, u'long': -74.217933, u'totalConfirmedCases': 459106, u'county': None, u'location': {...}, u'newDeaths': 1, u'lat': 43.299428, u'countryOrRegion': u'United States', u'isoCode': u'US-NY', u'provinceOrState': u'New York', u'newlyRecoveredCases': 0};-74.217933;1;0;0;New York;459106;350527
United States;;US-NC;35.759573;{u'totalRecoveredCases': 116969, u'newlyConfirmedCases': 0, u'long': -79.0193, u'totalConfirmedCases': 154087, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 35.759573, u'countryOrRegion': u'United States', u'isoCode': u'US-NC', u'provinceOrState': u'North Carolina', u'newlyRecoveredCases': 0};-79.0193;0;0;0;North Carolina;154087;116969
United States;;US-ND;47.551493;{u'totalRecoveredCases': 7066, u'newlyConfirmedCases': 0, u'long': -101.002012, u'totalConfirmedCases': 9737, u'county': None, u'location': {...}, u'newDeaths': 1, u'lat': 47.551493, u'countryOrRegion': u'United States', u'isoCode': u'US-ND', u'provinceOrState': u'North Dakota', u'newlyRecoveredCases': 0};-101.002012;1;0;0;North Dakota;9737;7066
United States;;;15.183333;{u'totalRecoveredCases': 11, u'newlyConfirmedCases': 0, u'long': 145.75, u'totalConfirmedCases': 68, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 15.183333, u'countryOrRegion': u'United States', u'isoCode': None, u'provinceOrState': u'Northern Mariana Islands', u'newlyRecoveredCases': 0};145.75;0;0;0;Northern Mariana Islands;68;11
United States;;US-OH;40.417287;{u'totalRecoveredCases': 84904, u'newlyConfirmedCases': 0, u'long': -82.907123, u'totalConfirmedCases': 114208, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 40.417287, u'countryOrRegion': u'United States', u'isoCode': u'US-OH', u'provinceOrState': u'Ohio', u'newlyRecoveredCases': 0};-82.907123;0;0;0;Ohio;114208;84904
United States;;US-OK;35.007752;{u'totalRecoveredCases': 39282, u'newlyConfirmedCases': 0, u'long': -97.092877, u'totalConfirmedCases': 52606, u'county': None, u'location': {...}, u'newDeaths': 1, u'lat': 35.007752, u'countryOrRegion': u'United States', u'isoCode': u'US-OK', u'provinceOrState': u'Oklahoma', u'newlyRecoveredCases': 0};-97.092877;1;0;0;Oklahoma;52606;39282
United States;;US-OR;43.804133;{u'totalRecoveredCases': 4355, u'newlyConfirmedCases': 0, u'long': -120.554201, u'totalConfirmedCases': 24711, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 43.804133, u'countryOrRegion': u'United States', u'isoCode': u'US-OR', u'provinceOrState': u'Oregon', u'newlyRecoveredCases': 0};-120.554201;0;0;0;Oregon;24711;4355
United States;;US-PA;41.203322;{u'totalRecoveredCases': 95901, u'newlyConfirmedCases': 0, u'long': -77.194525, u'totalConfirmedCases': 133161, u'county': None, u'location': {...}, u'newDeaths': 1, u'lat': 41.203322, u'countryOrRegion': u'United States', u'isoCode': u'US-PA', u'provinceOrState': u'Pennsylvania', u'newlyRecoveredCases': 0};-77.194525;1;0;0;Pennsylvania;133161;95901
United States;;US-RI;41.580095;{u'totalRecoveredCases': 1953, u'newlyConfirmedCases': 0, u'long': -71.477429, u'totalConfirmedCases': 21289, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 41.580095, u'countryOrRegion': u'United States', u'isoCode': u'US-RI', u'provinceOrState': u'Rhode Island', u'newlyRecoveredCases': 0};-71.477429;0;0;0;Rhode Island;21289;1953
United States;;US-SC;33.836081;{u'totalRecoveredCases': 42730, u'newlyConfirmedCases': 0, u'long': -81.163725, u'totalConfirmedCases': 112522, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 33.836081, u'countryOrRegion': u'United States', u'isoCode': u'US-SC', u'provinceOrState': u'South Carolina', u'newlyRecoveredCases': 0};-81.163725;0;0;0;South Carolina;112522;42730
United States;;US-SD;43.969515;{u'totalRecoveredCases': 8773, u'newlyConfirmedCases': 0, u'long': -99.901813, u'totalConfirmedCases': 11139, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 43.969515, u'countryOrRegion': u'United States', u'isoCode': u'US-SD', u'provinceOrState': u'South Dakota', u'newlyRecoveredCases': 0};-99.901813;0;0;0;South Dakota;11139;8773
United States;;US-TN;35.517491;{u'totalRecoveredCases': 91323, u'newlyConfirmedCases': 0, u'long': -86.580447, u'totalConfirmedCases': 145727, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 35.517491, u'countryOrRegion': u'United States', u'isoCode': u'US-TN', u'provinceOrState': u'Tennessee', u'newlyRecoveredCases': 0};-86.580447;0;0;0;Tennessee;145727;91323
United States;;US-TX;31.968599;{u'totalRecoveredCases': 383717, u'newlyConfirmedCases': 0, u'long': -99.901813, u'totalConfirmedCases': 602762, u'county': None, u'location': {...}, u'newDeaths': 5, u'lat': 31.968599, u'countryOrRegion': u'United States', u'isoCode': u'US-TX', u'provinceOrState': u'Texas', u'newlyRecoveredCases': 0};-99.901813;5;0;0;Texas;602762;383717
United States;;US-UT;39.32098;{u'totalRecoveredCases': 36679, u'newlyConfirmedCases': 0, u'long': -111.093731, u'totalConfirmedCases': 49317, u'county': None, u'location': {...}, u'newDeaths': 0, u'lat': 39.32098, u'countryOrRegion': u'United States', u'isoCode': u'US-UT', u'provinceOrState': u'Utah', u'newlyRecoveredCases': 0};-111.093731;0;0;0;Utah;49317;36679
